,MN-64,Venetoclax,AGI-5198,AZD3759,NVP-ADW742,P22077,WEHI-539,Foretinib,Rapamycin,PRIMA-1MET,Talazoparib,Trametinib,Luminespib,CZC24832,PFI3,Wnt-C59,OTX015,GSK343,AGI-6780,Uprosertib,Methotrexate,Olaparib,Bosutinib,Axitinib,CCT-018159,Afuresertib,Osimertinib,Savolitinib,Pyridostatin,Vinorelbine,ZM447439,AZD8055,Crizotinib,Temozolomide,LCL161,OSI-027,Ibrutinib,Docetaxel,Vorinostat,Temsirolimus,Bicalutamide,OF-1,Cediranib,Telomerase Inhibitor IX,UMI-77,Sepantronium bromide,MIM1,Avagacestat,5-Fluorouracil,Niraparib,BMS-345541,XAV939,Sapitinib,Taselisib,NU7441,SGC0946,Camptothecin,Vinblastine,Gefitinib,GW441756,SB216763,Motesanib,Daporinad,Elesclomol,Tozasertib,ABT737,GNE-317,WIKI4,AMG-319,Pictilisib,EHT-1864,Sorafenib,Oxaliplatin,GSK1904529A,Serdemetan,Erlotinib,MK-1775,Gemcitabine,YK-4-279,Bleomycin (50 uM),Vismodegib,JNK Inhibitor VIII,AZD7762,AZD6482,IOX2,BX795,SB505124,Obatoclax Mesylate,Dinaciclib,Fulvestrant,AZ960,Alpelisib,Wee1 Inhibitor,PRT062607,Ribociclib,Picolinici-acid,GSK591,VE821,JQ1,GSK2830371,Navitoclax,Refametinib,Lestaurtinib,CHIR-99021,Piperlongumine,Sabutoclax,GSK2578215A,MK-8776,Alisertib,Dactolisib,SB590885,Selumetinib,BMS-536924,Rucaparib,Bortezomib,EPZ004777,Dabrafenib,Pevonedistat,PLX-4720,LGK974,VE-822,GSK2606414,ML323,PFI-1,Nilotinib,Afatinib,TW 37,Tretinoin,SL0101,LY2109761,MG-132,AZD8186,Ipatasertib,GDC0810,BIBR-1532,Nutlin-3a (-),CCT007093,Tamoxifen,Cyclophosphamide,Lapatinib,AZD5582,I-BET-762,AZ6102,Cisplatin,Cytarabine,Veliparib,Lenalidomide,Tanespimycin,KRAS (G12C) Inhibitor-12,AZD6738,I-BRD9,MIRA-1,PD173074,RO-3306,MK-2206,Palbociclib,PD0325901,Dasatinib,Paclitaxel,BI-2536,Irinotecan,SN-38,Ruxolitinib,Linsitinib,Epirubicin,Doramapimod,EPZ5676,SCH772984,IWP-2,Leflunomide,Entinostat,WZ4003,PCI-34051,RVX-208,Entospletinib,AZD4547,VX-11e,LJI308,KU-55933,PF-4708671,GSK269962A
GA-10,4.9172797,1.7326372,3.76978,2.303959,1.4622264,1.9991819,3.593812,-0.04498029,-4.7870116,1.0890161,-0.024796696,1.4336694,-4.215488,3.1134324,4.2678876,2.9733286,-0.48657066,2.2554858,3.6536908,0.6275788,-3.2433364,3.2685072,-0.07820654,2.0581276,,1.1544001,1.1408173,1.3815761,1.5209633,-5.6073947,0.12750438,-1.6373289,1.2222065,5.5961123,4.609227,1.6937377,1.1961497,-5.996559,-0.04988436,-1.0709633,,4.897698,1.4503744,-0.18659149,1.7612699,-6.2193995,2.5206566,3.7358925,3.8818395,2.0062,1.8198473,3.6642263,2.2255983,0.24339636,1.8535666,1.2308043,-3.213451,-6.073158,2.4323378,1.245005,3.994222,4.4308367,,,,3.082395,-1.8592163,2.5231404,1.6941533,-1.1559188,3.5399463,1.8063247,0.58925503,4.1464543,2.587951,1.3726434,-0.9762593,-3.7531972,0.9907931,2.0966735,3.6831584,4.2972355,-2.4546814,,,,,-1.5726238,-3.8543432,2.9846146,-0.06336257,1.664646,0.65416247,-0.07394069,1.320068,4.444112,1.7938895,1.1049904,-0.6751354,3.9661462,4.081395,3.7360227,-2.4313843,,,-2.4520218,4.4965625,1.1164579,-2.1188345,-4.693078,2.172636,4.596507,1.867709,2.6122835,-5.9620814,3.9787843,2.1593287,-1.2623366,3.5720704,3.3899298,-0.51925486,2.4683967,3.702926,2.4965613,0.4905976,0.6352912,,,,4.917289,-1.5944055,0.2365284,1.1318754,4.905928,3.777584,4.2843904,4.7449646,3.3907583,4.295213,2.6785233,0.7382501,0.44607788,1.7036614,0.683244,-1.9962913,4.7339153,3.5389733,-0.7455224,2.9432962,0.22629328,2.660959,1.9636462,3.127556,0.9212163,-0.11237227,0.44448084,2.603277,-1.1613653,-4.7851496,-4.2366405,1.3630136,-4.2249265,4.037339,3.3554733,-2.030576,4.895117,4.355139,3.3777506,1.2733262,3.20138,-0.0080305515,3.1961343,2.188747,1.8118453,0.1257008,0.7925623,3.6878126,3.3734703,2.291207,,
UMC-11,5.0023217,2.6238172,4.482018,3.9369504,1.9765804,2.2944171,3.9241388,0.8835802,-3.3682685,6.748084,3.8074608,2.4296167,3.423119,5.8000965,5.182751,3.7326539,3.871606,4.327297,4.2827168,5.465825,1.6317936,4.8813686,3.3490682,0.73602724,,3.9253619,2.5935042,1.360538,4.0961857,-2.311575,0.49578792,-0.29436457,2.159802,5.929353,5.8169565,2.4620802,5.7421727,-3.6233516,0.84610134,-0.29983896,,2.7520895,1.9561816,0.64390695,3.8274908,-3.535614,2.9595788,6.0367837,6.562959,5.2583847,3.3003328,4.653642,4.813768,4.281299,3.1957302,2.1636918,0.13799791,-3.8949137,3.9772208,3.770569,5.137361,5.797927,,,,1.0083399,-0.030769154,2.626861,5.4719257,2.6007226,4.0080247,1.9652854,5.6994176,4.474143,5.091646,1.3183242,0.3915559,3.4284105,1.5938636,4.5057,5.42172,5.656927,0.22598252,,,,,0.64896244,-3.0400107,4.5067935,1.9361372,5.7537866,1.2816772,3.7530212,4.1534247,5.001476,5.000867,5.6880913,3.3253508,5.547128,1.8368622,5.6080427,-1.1410296,,,0.094941504,5.3847065,4.322739,-1.7424898,-2.0344718,5.086085,5.5001106,0.31434065,3.991856,-3.9615266,5.862116,3.8960896,1.7827547,5.810437,2.6515012,3.6200838,2.9156559,3.5086343,3.5160053,4.5962353,3.5954654,,,,5.2552876,1.7279127,4.758404,4.8400035,5.35544,5.2673287,5.1557765,5.12991,3.1200047,5.6307063,2.9264345,5.8544383,5.749096,2.9831386,3.3840132,2.7410173,5.7481833,4.516587,3.400573,4.537637,1.80508,5.5950966,6.054691,4.4037447,1.902456,4.5625,2.8978221,3.3173802,3.6815805,-2.6661975,-0.5618738,3.464675,3.3969676,5.5139832,4.769309,-0.32832614,4.675436,5.8859615,4.734647,3.4194021,4.9615664,1.3099854,4.273822,5.562371,4.3283887,5.4770517,1.6312703,3.1692202,4.270216,5.8176885,,
ESO51,3.664232,3.274518,5.6209207,3.844347,2.646789,5.8199024,5.621635,-3.4172034,-1.9280484,6.8480325,4.68059,-3.28296,-1.337317,5.5338793,4.9219465,2.7514918,6.0139265,3.415149,3.3740678,4.2365456,-1.9512563,4.7994204,1.6172856,3.985006,,4.574814,3.1694448,-4.4699316,2.6396701,-4.185251,3.5783331,1.178616,-1.9777886,6.7988935,3.8694835,5.281526,4.276281,-1.075214,1.5769436,3.1169627,,2.4311547,2.444708,2.0597277,2.7296166,-1.6670632,5.718387,3.5160873,2.866579,5.717417,3.347766,5.4779463,5.4476333,2.987868,3.5071554,2.1869874,-2.2143354,-4.117696,4.0231557,3.573477,5.888414,5.316625,,,,2.526621,1.2395507,3.8112185,4.244138,1.7912982,3.5919247,2.8325694,5.8910713,4.6558547,4.4424353,4.201843,0.03920894,-1.4099119,2.008314,4.0242906,3.0321424,4.463345,-1.5708538,,,,,0.39230287,-2.3211186,3.5477705,4.637155,5.6035905,0.8372795,5.6535892,4.6100144,5.8790717,4.543891,1.4505268,1.7140162,3.4174016,3.848461,-0.26147416,-0.73573285,,,-0.39771315,5.9160457,-0.8171203,2.6950977,-1.142741,5.027202,2.7027864,4.372276,5.1557364,-4.842381,4.8677983,3.0512295,0.89655685,3.701806,2.5442398,0.7177045,4.296271,3.0152833,4.414031,2.9111853,3.0077984,,,,4.86066,-1.2509491,3.4374306,5.6751914,5.8866596,4.4174623,5.7455215,5.172314,5.26712,6.008184,4.0328984,2.3503556,5.8425345,2.720989,4.1030326,1.3977001,5.7714267,5.253801,-0.95599645,5.1805997,0.20710567,6.0139265,6.281588,5.3520937,5.601879,4.225087,5.1431503,-0.51636446,3.4206867,-2.3217528,-0.2451443,3.758154,3.1590586,3.7934976,4.521558,-1.2466573,6.0139265,4.923061,-0.057047464,0.488928,2.9909778,1.9882715,3.3153415,5.7961817,5.649892,4.079272,3.4622002,-0.7415165,5.299685,6.0121737,,
EW-22,4.7770123,1.3651736,3.5955768,2.389277,0.5471113,4.7240276,1.4769373,-0.21714441,-0.81432956,4.125133,-3.2370522,2.7962887,-2.7239916,5.101536,5.349213,4.936451,3.5328472,4.1091657,3.7720327,1.0045053,-3.1206787,0.41101602,2.6850195,1.2046944,,1.7703596,1.6448923,3.0989537,2.0098407,-4.803219,0.6005325,-1.3135046,0.8323728,6.8113565,5.324815,3.5079186,5.1350074,-4.842062,0.3796877,-0.3319159,,4.926782,1.7649857,-0.22964312,1.637912,-3.310931,2.5988712,5.052829,4.0301023,0.45981658,3.1845841,4.9800406,4.7214108,0.38782415,3.8907464,1.772994,-5.1535006,-5.7775865,3.76724,3.7413101,5.4251075,5.4284053,-6.129489,,,-0.05935885,-0.39062378,4.0378876,4.6881385,0.07870774,3.0680754,2.4891555,1.765259,4.094127,3.1906133,2.7131906,0.63573617,-5.2210655,1.1023624,1.1841365,5.0418344,5.0430856,-1.941455,,,,,-0.36020693,-3.4689236,3.5720186,0.9533994,1.9684424,1.3976307,2.4538655,2.094985,5.4244857,2.8573916,2.0138857,2.034935,5.4284053,-0.9302982,4.123141,-0.3742196,,,-2.2862878,3.9400418,0.726255,-1.0061212,-2.4556184,4.731044,5.0730443,0.8593048,1.339112,-5.204867,4.5389175,4.8200207,-1.384661,4.7496758,4.4549365,1.6829666,3.4907532,5.2614145,3.3788803,2.2661042,1.0084554,-1.2054812,,,3.9002643,-1.716225,3.3120694,2.7481105,4.7419806,4.6358495,4.590039,5.1424985,2.975356,5.182586,3.4556394,1.7026248,5.411008,1.4234695,-0.78762525,-1.7147583,3.397384,5.394615,1.8764219,2.2752218,0.4545105,3.2566564,5.160765,3.0793464,2.827631,2.1439528,3.6805584,3.826916,4.1529865,-4.2329726,-4.770238,-1.219846,-7.533239,4.922515,1.5627037,-2.8986564,4.570801,4.7434764,4.7172236,2.904038,5.4131064,0.6195632,2.39618,2.2626429,5.428069,4.5339108,2.8613625,2.9003062,4.0429316,5.4018893,,
U031,3.2297583,2.6972637,4.105924,1.2801584,3.128386,3.8614311,3.5731485,0.57113594,-2.763555,5.0754175,1.8638529,-1.992139,-1.6779053,5.4941545,5.9120345,4.8904257,0.98361135,3.5404437,5.6293044,2.8972266,2.5130248,4.4999743,0.6299016,3.5486,2.4476223,1.1494442,0.29149386,3.6119294,5.299848,-0.6565177,1.7788994,,2.7948961,4.5978694,5.217661,3.03346,1.6932628,-1.7036175,1.8057663,0.5467242,3.9825168,4.3821335,1.3665076,0.20541131,,-2.5916755,,2.9893456,2.8420546,2.970025,2.334045,2.5316036,3.37139,1.507707,1.3982064,2.7434747,-2.9913878,,1.2472471,3.7603595,4.135525,5.513932,-4.900303,0.868477,3.0416849,3.6575253,-0.25777057,1.9716918,4.132568,0.1320993,3.267095,2.1784222,3.4334838,3.3955314,2.4073837,1.6991341,-0.13745226,-2.812455,2.822855,,4.241803,3.406489,0.87197423,2.1580188,2.4765902,2.2114022,4.380904,,-3.4058874,3.031623,0.6810965,3.0949867,0.488639,1.8962065,4.2455163,5.914354,3.3994296,2.7020452,0.97883683,,4.0093584,0.4522889,-1.2594957,1.8921837,2.6810308,-0.21456616,4.7082143,2.6905744,2.3113115,-2.660142,4.8331375,2.0790973,1.0538858,3.4384863,-5.5903487,5.5206003,2.1954415,2.4070427,2.746703,4.8925147,2.605376,4.2310624,4.6138935,4.4424314,1.4498564,0.9150346,,5.3279157,4.8719273,3.95258,-1.1561009,0.9262027,3.2219372,4.5756516,4.97813,2.0608692,5.262429,5.4872513,4.97014,2.377573,5.3876767,2.4409466,1.6070267,,,5.4449687,5.4806685,1.1289641,4.572515,1.8969041,5.268013,5.378238,2.4964561,2.3425875,0.8411273,2.167849,-0.6832118,-2.368349,-1.8767006,0.39100248,1.57108,-3.2132084,2.9027107,4.2590237,0.046134062,3.0148335,5.177105,1.8540428,2.7937732,4.5320234,1.7795967,5.388787,4.0412707,3.7722542,2.797294,3.2052433,1.0896969,3.5781288,5.5226984,3.4918423,1.4213378
CAL-29,5.4332547,2.7866483,4.5745544,1.203083,3.2683358,2.4053864,3.579346,1.8232226,-3.1749394,6.4199767,2.1503875,-0.32547385,-0.9077746,4.533589,5.3282557,4.765589,2.7324579,3.9071124,5.291497,1.4383148,0.67765945,4.982428,2.707153,3.1647108,,1.835512,0.5710582,1.8357848,4.2880435,-3.5688396,1.0985154,-1.5044036,3.0995736,6.5285425,5.3977437,3.289749,2.3456984,-5.277284,1.0700039,0.5236737,,4.179589,1.5185198,0.45061937,3.6029918,-4.7915697,4.8447485,5.5084553,5.6546082,4.119994,3.349129,4.6895967,1.0549213,-2.14914,2.9758968,2.0778587,-3.7872162,-3.2078633,1.9372727,3.5228524,5.1483607,5.4923716,,,,2.6843977,-0.8124006,4.099746,5.4095325,-0.447476,3.132676,3.155872,5.5830526,5.259982,4.0870247,2.0338795,-0.10532429,-3.890203,2.723838,2.0219955,5.4923716,4.116908,-0.2025131,,,,,0.07438828,-3.519356,3.5330117,2.611497,0.65903866,1.5805091,4.282882,3.4501655,5.181783,4.7172093,3.3094544,2.7656968,5.481248,1.9964361,1.19104,0.32490924,,,-0.66763514,5.3869123,4.0122437,3.4431803,-2.632642,4.7921124,2.494168,2.1266198,4.6322904,-5.1191874,5.0460496,4.604076,-0.42448783,5.7992477,4.459284,2.4661725,3.6707976,5.2400618,4.1302843,4.3923044,0.70182294,,,,4.6118927,-1.3729389,1.8925474,2.6806219,4.8422284,5.1361427,5.6900225,5.6039495,3.054516,5.3348546,2.1175132,1.6835228,2.9677312,1.8367206,3.2781222,3.1468718,5.365032,5.4291916,-2.3818662,3.40792,0.97029924,5.4156704,5.3389516,3.9732342,4.7173066,1.4327464,4.8074293,0.7613281,-0.6807024,-4.39239,-3.106793,1.5252347,-5.533149,5.288481,5.6800647,-1.4266694,5.3555346,5.6121025,1.9672724,3.078408,4.848371,1.7729352,5.422861,5.2680936,5.3903527,3.3563516,2.4462578,2.321138,5.4577713,5.4923716,,
ChaGo-K-1,3.6525867,3.774309,3.8092988,1.52675,3.8175411,5.5331335,3.8034582,1.5372456,-1.1379333,5.2132077,3.6457167,2.664354,-1.243679,4.956107,5.5331335,3.7316618,2.4043877,3.0496356,4.3999596,3.8173053,2.2264194,5.5592256,3.9160676,3.3781867,4.488953,2.2137635,2.0386672,3.2305481,5.1225615,-3.9084713,3.385385,,3.0865598,6.2526765,4.3316045,3.6330037,3.5007746,-4.440499,2.3111992,1.9005855,3.88081,3.604362,3.3422666,1.4507884,,-3.33931,,3.7239904,4.5694423,4.749528,3.1027813,4.0870442,4.2219973,3.7566922,3.1711907,2.3528929,0.53385496,,3.7814674,3.4647079,5.5248003,5.532584,-4.646989,-0.71698076,3.2668014,3.5638137,1.7130207,3.766367,4.9706554,1.8094914,2.82852,2.6543972,4.397251,4.672158,3.7148428,4.556587,0.55300546,3.698076,1.7600088,,4.476178,4.4182124,0.727099,4.105034,2.537401,2.8365736,5.24029,,-3.1869087,3.2294207,3.6691453,3.6956005,1.5412519,4.311551,4.1017537,5.5296173,3.560769,4.2089076,2.2206004,,2.7122197,3.9645567,0.7920107,5.5331335,3.032768,0.043203715,5.061228,4.609352,3.5620608,0.48202583,4.8257766,5.463764,3.8601434,4.705175,-3.296726,4.0210786,3.8607728,1.9148419,3.092865,5.110368,3.9678771,4.867774,3.579956,4.952317,2.636923,2.9483993,,3.916665,4.0327497,4.0706434,-0.5527659,2.5760615,3.7173936,4.7088475,4.2715564,4.704478,3.7508464,5.5331335,5.14786,3.8464737,2.1144469,3.8994412,2.8955753,,,5.4954586,5.4434447,1.4741118,4.61479,2.9111683,3.618418,4.256942,4.724197,3.308589,4.203314,4.839199,4.359828,3.1905234,-3.9990795,1.8654401,5.04437,0.6982844,5.1696467,3.5653863,-0.4781479,3.263429,4.0837245,3.1776497,2.9436057,5.6051598,3.1676276,5.2515674,4.0632033,4.6971827,4.1370144,4.5918593,3.3078184,3.583787,5.5305634,3.1589153,3.301552
A388,4.5771422,3.543497,3.882832,1.490594,3.9781885,5.159556,2.4813538,0.8668726,-2.4323857,4.1321096,1.6834354,0.3831567,-3.7899423,5.727448,5.7828145,5.777743,1.8649566,2.6079352,5.448541,1.2570724,2.7324994,4.217185,2.8502786,2.5810378,3.7924984,1.9908051,0.33119953,3.5361915,5.7195735,-3.9156747,1.0236096,,2.2151825,6.201326,0.33562025,1.3982368,1.0074068,-5.988856,2.1537728,-0.3039525,4.322472,4.8805857,2.7737195,-0.5799854,,-5.5639524,,2.5331843,4.201614,4.8646793,2.5903862,2.5770319,0.34360212,-1.6228749,2.6483736,2.8177462,-3.33068,,0.95809716,4.193932,5.8101535,5.5892243,3.298264,-4.678043,0.24501191,1.4339628,-0.6917231,3.5933344,5.1856923,0.14340544,4.1654406,2.1322997,3.502583,4.4400415,3.308653,0.87008536,0.16359796,-3.0845823,1.0961937,,4.0319777,3.681113,1.3982598,3.538486,2.769559,3.2379472,5.611201,,-3.832913,3.5329478,0.9883556,0.5234998,1.5891789,3.045594,4.4102407,5.774428,4.4252377,4.708265,2.934952,,0.7035324,1.4102672,0.71425635,5.853516,1.4906777,-0.047692094,5.3491554,4.025694,-0.5622923,-2.1245484,5.1572866,3.3308516,2.8909564,4.4266806,-5.823807,5.214651,4.935267,-0.45280406,2.8869739,5.5890393,4.5612197,3.1247914,4.519464,4.5539355,2.1792774,-0.29462275,,4.055154,4.648045,5.063516,-1.7157851,2.3603582,2.750399,5.8503447,5.356691,3.9325166,4.6080456,5.345581,5.6578155,0.764399,-2.0646975,4.283365,3.5816092,,,5.4980445,5.568668,-1.0939529,3.709323,1.7643651,5.4752,5.3958964,4.120138,1.6921417,2.017926,3.0876288,1.7892104,-0.25289944,-4.562243,-1.8950349,1.2882919,-4.7949195,5.219412,5.4537997,-1.281547,3.8368134,5.763667,1.769728,2.8832827,4.4530683,1.5832345,5.842837,5.3194838,5.8110785,3.1915746,4.079866,2.3721213,3.5448601,5.834048,4.3933096,4.306532
CPC-N,3.3577712,3.147523,4.9490376,2.7713163,0.4811476,2.9923031,-0.7348795,0.21753275,-0.96712023,2.5899024,3.3158412,3.0028458,-2.2309134,4.41415,5.0961857,2.3134975,2.0273051,2.7033818,3.0924718,2.1731827,-3.6173708,3.4854844,3.38053,1.9051119,,1.4342232,1.6800988,2.8780172,1.6323667,-4.2335443,0.51934785,1.1952518,1.2390019,5.937432,4.868217,1.8397317,3.7161646,-5.7047687,0.70813155,1.2911389,,4.276276,0.92166203,-0.8981306,3.232272,-6.110644,3.3199246,4.8141713,4.295886,3.9025981,2.3643723,4.1547966,4.623899,1.6914828,2.6054938,1.9841058,-1.5076705,-4.6012964,3.600704,2.9118547,4.9258895,4.4622054,-6.15042,,,0.70507663,0.75409573,4.283694,4.5231414,0.81829065,3.8786373,2.2554622,3.4108357,2.5619354,4.0608587,3.0946143,-0.47577083,0.22198081,1.5367165,4.193623,4.0314364,5.2228117,-1.6679472,,,,,0.88366556,-3.1991038,3.325319,1.898215,1.8422132,0.70941377,1.7502679,3.724509,5.106507,4.1375136,2.5477364,2.3481464,4.2321734,0.035081528,5.0940285,-0.77483714,,,-2.010602,4.9581785,1.0775568,-0.1474914,-1.188868,2.223181,5.245656,1.9775326,4.3704157,-4.4077544,5.121533,5.1318336,-0.8848385,4.370142,3.941337,2.3000455,3.7730486,4.1495113,4.5253043,3.2999337,0.8589195,0.1664187,,,4.279841,-0.9821534,3.6045227,2.4741504,2.6007867,5.0493402,4.0752997,4.4015336,3.4856713,4.57961,2.5953338,0.7174573,2.9831371,1.2987409,3.553984,1.5618148,5.1434164,4.915742,1.8858417,3.8393133,0.6198666,3.9375587,3.5385497,2.8866327,2.3933713,1.8580045,3.5197463,3.9813282,3.0726433,-5.261713,-3.6209795,3.4082458,-3.8624644,4.6982384,1.7147958,-1.4342839,4.8615017,4.9661436,3.6679564,2.472101,4.160465,0.4450786,2.2887294,3.8715582,4.8374114,2.9186275,2.9188383,1.4169358,5.0000753,2.7789834,,
Hs-445,3.4274197,0.15325157,4.3575854,2.1818652,3.4497972,4.719079,4.140234,1.5185825,-2.2575922,5.3310027,0.9509268,1.3699932,-3.205774,4.932185,5.1180186,5.1229854,3.8798232,3.4770095,5.1104283,1.0633427,-2.3116405,4.5795693,1.0642929,3.3719115,,1.4343774,1.7220684,1.471447,3.266058,-5.0762124,2.933699,2.2144895,2.8979082,4.319304,5.1261215,3.1629238,3.0302188,-4.8573,0.47888386,0.5988175,,2.946443,2.3443851,-0.60005337,2.2077408,-5.097591,4.008319,3.4158561,1.4007686,3.540779,2.565796,4.2227907,5.2916694,2.542558,4.7909017,1.9653332,-4.6725793,-5.0237336,2.5962257,2.0513995,5.0992827,3.3446374,,,,-0.09062144,2.5184977,3.8420024,3.7208912,1.9060016,3.680724,1.6579666,1.6582096,3.7495527,2.1510818,1.2343538,-1.3992859,-5.794387,1.0627276,2.0914862,4.014928,3.5606918,-1.3073817,,,,,0.7294113,-3.580329,2.6588862,2.9785166,3.4347794,-0.22472072,2.9671693,2.9019592,5.1120005,5.358869,2.6063187,3.9777334,2.4507403,1.0586241,1.4291757,-2.584373,,,-0.7339013,5.126115,0.256796,2.6342487,-0.55008036,4.309835,3.5573666,3.1526883,2.9727092,-5.36822,4.9073052,3.8121092,-1.2035787,4.297298,4.654884,1.9237033,3.2074625,5.6367917,4.3208222,2.4173307,1.7485805,,,,3.1818535,-1.3371806,3.1841066,2.7100136,5.126475,3.762665,0.373347,4.253405,5.076979,4.214858,5.6294885,2.1039028,4.732702,2.1637564,0.1267559,-2.3261032,4.7444677,4.1270776,-1.0110288,3.2038798,1.0776837,5.126475,4.140456,3.8480127,2.246057,2.9977314,3.144925,1.62543,1.1956713,-4.5936513,-2.9147527,0.1056994,-6.365749,4.1197248,4.166075,-2.6987288,4.9552374,4.8625164,3.0871742,1.8730161,3.7324786,2.0352342,4.3971353,4.534325,5.094291,4.082188,1.2103578,2.8089943,3.593867,5.1141195,,
